covariate,beta,se,pvalue,ci_low,ci_high,setting
age_11-18,0.38677914688903076,0.4817714248780581,0.42207468706766105,-0.557492845871963,1.3310511396500246,household
age_19-39,0.11480753881717073,0.355496117082252,0.7467329644309333,-0.5819648506640431,0.8115799282983847,household
age_40-59,0.03492232433642444,0.3306163006203774,0.9158775424715264,-0.6130856248795152,0.682930273552364,household
variant_Alpha,0.0,1000.0,1.0,-1960.0,1960.0,household
variant_Eta,0.0,1000.0,1.0,-1960.0,1960.0,household
variant_Delta,-1.6093101852626894,707.1066576807119,0.9981840891640451,-1387.538359239458,1384.3197388689325,household
variant_Omicron,0.0,1000.0,1.0,-1960.0,1960.0,household
intercept,-8.627217107938359,1550.5210644002168,0.995560532537377,-3047.6485033323634,3030.394069116486,school
facial_coverings,1.1452860595111833,1.6395616669096362,0.484844640867962,-2.0682548076317033,4.3588269266540705,school
gathering_restr,-0.5540494768015247,1.5652639944990097,0.7233647268861557,-3.6219669060195834,2.5138679524165344,school
school_restr,-1.0126753118403058,1.4023691363304949,0.47022223231917704,-3.7613188190480757,1.7359681953674642,school
workplace_restr,0.07302415454981566,1.4329823562508868,0.959357742770775,-2.735621263701922,2.881669572801554,school
travel_restr,-0.3449415332213443,1.4895134614995882,0.8168642399238292,-3.264387917760537,2.5745048513178483,school
stay_home,0.0,3.1622934716752664,1.0,-6.198095204483522,6.198095204483522,school
school_holiday,-0.11629811176919999,0.3814921930369995,0.7604799656633295,-0.864022810121719,0.631426586583319,school
vacc_one_dose,-0.5890398542909843,0.5646833889615693,0.2968867178902892,-1.6958192966556602,0.5177395880736917,school
vacc_two_doses,-0.9231705582102223,0.5924044975739564,0.11915149838684663,-2.084283373455177,0.23794225703473226,school
age_0-10,15.860217473189838,2760.6726317878843,0.9954161341351743,-5395.058140831064,5426.778575777443,school
age_11-18,15.821009300139393,2760.672198255769,0.9954274651051223,-5395.096499281169,5426.738517881447,school
age_19-39,-11.757253512305622,1000.0,0.9906192850663278,-1971.7572535123056,1948.2427464876944,school
age_40-59,-8.2712448030957,1000.0,0.9934005767213385,-1968.2712448030957,1951.7287551969043,school
variant_Alpha,0.0,1000.0,1.0,-1960.0,1960.0,school
variant_Eta,0.0,1000.0,1.0,-1960.0,1960.0,school
variant_Delta,-8.627172075889545,1551.3036148750946,0.9955627951514352,-3049.182257231075,3031.9279130792956,school
variant_Omicron,0.0,1000.0,1.0,-1960.0,1960.0,school
intercept,-5.614867422150417,707.0515619842781,0.9936638723666585,-1391.4359289113354,1380.2061940670346,workplace
facial_coverings,-0.1892739187118007,1.0239396594173376,0.8533477060198047,-2.1961956511697824,1.817647813746181,workplace
gathering_restr,-0.2495285634713594,0.9824260974115384,0.7995015858969711,-2.175083714397975,1.676026587455256,workplace
school_restr,0.15449257046890671,0.9018772778075267,0.8639870149496929,-1.6131868940338456,1.922172034971659,workplace
workplace_restr,-0.30460739632132233,0.8704881643389507,0.7263934106396123,-2.0107641984256657,1.4015494057830211,workplace
travel_restr,0.0506373002351595,1.0217284447219837,0.960472680790232,-1.9519504514199286,2.0532250518902475,workplace
stay_home,0.0,3.1622934716752664,1.0,-6.198095204483522,6.198095204483522,workplace
school_holiday,0.10521322140403867,0.21139813227630513,0.6186942710404884,-0.3091271178575194,0.5195535606655968,workplace
vacc_one_dose,-0.730368888900199,0.2581863877540794,0.004671653519940877,-1.2364142088981946,-0.2243235689022034,workplace
vacc_two_doses,-0.5801227115127195,0.2683743221045434,0.030647648346853948,-1.1061363828376245,-0.054109040187814594,workplace
age_0-10,-5.277814629951762,274.6925296289448,0.9846707599440014,-543.6751727026835,533.11954344278,workplace
age_11-18,-4.457623942777161,218.13526825718571,0.9836962549677257,-432.00274972686117,423.08750184130685,workplace
age_19-39,10.105858276055988,17.672776241197187,0.5674358229629639,-24.5327831566905,44.74449970880248,workplace
age_40-59,10.148091598744992,17.67253966639818,0.5658125864291965,-24.490086147395438,44.78626934488542,workplace
variant_Alpha,0.0,1000.0,1.0,-1960.0,1960.0,workplace
variant_Eta,0.0,1000.0,1.0,-1960.0,1960.0,workplace
variant_Delta,-5.614863843502105,707.0515114960402,0.9936638759524865,-1391.4358263757408,1380.2060986887368,workplace
variant_Omicron,0.0,1000.0,1.0,-1960.0,1960.0,workplace
intercept,-4.589055705007713,756.6476290208811,0.9951608726338407,-1487.6184085859347,1478.4402971759193,family
facial_coverings,-0.2819299801223716,2.8456910380738347,0.9210806353863068,-5.8594844147470875,5.295624454502344,family
gathering_restr,-1.3741227743985769,2.8841806280755824,0.6337649549656086,-7.027116805426719,4.278871256629564,family
school_restr,-0.19829312617587894,2.6151161892174226,0.9395577357061167,-5.323920857042028,4.9273346046902695,family
workplace_restr,-0.4997633090079191,2.9793354467616924,0.8667852965047571,-6.339260784660836,5.339734166644997,family
travel_restr,-0.9277177895767986,2.669674414168846,0.7282140498670191,-6.160279641347737,4.304844062194139,family
stay_home,-2.7755575615628914e-17,3.1622934716752664,1.0,-6.198095204483522,6.198095204483522,family
school_holiday,-12.560097869924292,485.196340752579,0.9793477646498023,-963.5449257449791,938.4247300051304,family
vacc_one_dose,-6.152302748221286,386.4858985880262,0.9872993553318403,-763.6646639807526,751.3600584843101,family
